Nome;Idade;Vaga;Estado
Caua Oliveira;18;QA;BA
Marcio Rosa;33;QA;RS
Mirella Carvalho;47;Web;RR
Marcio Nogueira;49;Mobile;MG
Thomas Fogaca;26;QA;AM
Luiz Santos;32;Web;AP
Ana Rezende;33;QA;SC
Bryan Silva;18;Web;TO
Heloise Luz;24;Web;BA
Thomas Costa;35;Mobile;MG
Bento Jesus;43;Mobile;SE
Kevin Brito;34;Mobile;AC
Yuri Gomes;32;Mobile;SE
Antonella Mata;34;Mobile;GO
Priscila Paula;29;QA;PE
Calebe Rocha;32;Mobile;SE
Igor Galvao;48;Web;SE
Diego Nunes;47;QA;MA
Fernanda Rezende;33;Web;RO
Daiane Pereira;48;Web;AC
Malu Assis;39;Web;RO
Bento Martins;48;QA;AP
Francisca Conceicao;32;QA;SC
Geraldo Mota;26;Mobile;RN
Adriana Rocha;24;Mobile;PR
Isabelle Gomes;23;Web;AC
Kamilly Caldeira;48;Mobile;AC
Luiz Novaes;28;QA;AM
Thiago Silva;47;Mobile;AL
Alana Aragao;28;Web;SP
Caleb Ferreira;39;Web;PI
Luciana Ramos;21;QA;SC
Barbara Almada;47;QA;AC
Reinier Monteiro;25;QA;SC
Nathan Fogaca;47;Mobile;PB
Daniel Alves;47;Mobile;GO
Mirella Neves;47;Web;PR
Leonardo Araujo;32;Web;SP
Mario Melo;48;Mobile;RJ
Clara Campos;18;QA;SP
Sabrina Souza;18;QA;AC
Louise Pires;35;Mobile;PI
Jose Assuncao;20;QA;TO
Eloa Brito;33;QA;PE
Sebastiao Cavalcanti;22;Web;RO
Breno Barros;47;Mobile;BA
Eduardo Costa;44;Web;MS
Alicia Sales;18;QA;PE
Camila Novaes;20;Mobile;SP
Marcio Silveira;20;Web;MS
Giovana Almeida;47;Mobile;SC
Yago Rocha;44;QA;SC
Gabriela Ferreira;20;QA;AP
Emily Almada;49;QA;SP
Silvana Cavalcanti;33;QA;RJ
Erick Ramos;32;Web;SP
Diego Moreira;44;Mobile;AL
Maria Pinto;34;Mobile;TO
Pietro Farias;47;QA;RO
Filipe Brito;35;Mobile;PE
Pietra Viana;28;Web;SC
Yasmin Campos;29;Mobile;MT
Marlene Silva;32;QA;RN
Yago Ribeiro;32;Web;RS
Nathan Mota;23;Web;RS
Yasmin Assis;44;QA;AM
Priscila Barbosa;47;Web;SP
Matheus Melo;18;Mobile;PB
Kaue Galvao;47;QA;MA
Caue Bernardes;33;Mobile;RO
Caleb Freitas;47;Web;SE
Jennifer Assuncao;44;QA;SC
Lorena Vieira;21;QA;RR
Anderson Teixeira;20;QA;PB
Beatriz Santos;22;Web;AC
Fernanda Costa;33;Web;PA
Bryan Rocha;33;Web;RR
Gabriela Cunha;23;Mobile;PB
Sophie Silveira;42;Web;PA
Yasmin Novaes;42;Web;PI
Bernardo Cruz;33;Mobile;AP
Antonella Rezende;20;Mobile;ES
Eduardo Barbosa;49;Mobile;MS
Amanda Fogaca;28;Web;MG
Joaquim Santos;26;QA;RO
Rita Paula;42;Web;SC
Pedro Almada;18;QA;RR
Sueli Paz;42;Mobile;RS
Camila Figueiredo;32;QA;DF
Sophie Martins;43;QA;AL
Luis Teixeira;21;QA;AM
Murilo Rodrigues;18;Mobile;PA
Stefany Almeida;22;Web;BA
Theo Moreira;47;Web;MG
Luana Conceicao;35;Mobile;AM
Milena Nogueira;32;QA;GO
Mario Caldeira;47;Web;TO
Cecilia Costa;42;Web;CE
Tatiane Lopes;21;QA;PR
Murilo Drumond;21;Mobile;ES
Levi Neves;42;Web;RS
Jose Luz;47;Web;PR
Catarina Dias;22;Mobile;RR
Catarina Pires;34;Mobile;SP
Nelson Rosa;21;QA;PA
Henrique Araujo;22;Mobile;CE
Pedro Freitas;47;Web;PB
Manoel Rosa;34;QA;MT
Manoel Cruz;43;Web;MG
Ayla Pereira;22;Mobile;ES
Raimundo Fernandes;48;Mobile;BA
Camila Barros;47;Mobile;MG
Leandro Rodrigues;47;QA;AP
Yasmin Aparicio;42;Mobile;AP
Lucca Rezende;42;Mobile;AC
Gabrielly Melo;23;Mobile;RO
Raimundo Mendes;23;Mobile;RS
Iago Pinto;22;Mobile;SP
Mirella Almada;47;Web;BA
Juan Drumond;21;QA;MG
Thales Farias;47;Web;BA
Yuri Santos;42;Mobile;SP
Diego Ribeiro;33;QA;AC
Yago Rocha;47;Mobile;TO
Allana Peixoto;33;QA;CE
Gabriel Viana;22;Web;AC
Caue Cavalcanti;33;QA;GO
Gustavo Oliveira;44;Web;AL
Thiago Assis;20;QA;RS
Diogo Gomes;35;QA;MT
Raimunda Mota;34;Web;RO
Cesar Campos;42;Web;TO
Yasmin Bernardes;22;QA;MT
Samuel Almeida;26;Mobile;SE
Daniel Moura;32;QA;RJ
Erick Cardoso;33;Web;SC
Arthur Peixoto;32;Mobile;SP
Luis Almeida;32;QA;RJ
Stella Almada;24;QA;DF
Eduarda Oliveira;43;Mobile;AM
Olivia Ribeiro;21;Web;MT
Elias Jesus;33;Mobile;AP
Juliana Araujo;47;QA;PI
Renato Conceicao;18;Mobile;MS
Bruna Pinto;47;Mobile;PR
Louise Rosa;32;QA;AL
Agatha Luz;32;QA;SC
Andreia Ramos;26;QA;MG
Thiago Moura;47;Mobile;DF
Henrique Paz;34;QA;SE
Sara Santos;35;Mobile;BA
Sueli Silveira;18;Web;PB
Samuel Cardoso;18;QA;PI
Nicolas Mendes;34;Web;CE
Amanda Costa;20;QA;AM
Luis Silva;23;QA;ES
Larissa Vieira;18;Mobile;TO
Heloisa Porto;24;QA;PE
Sebastiao Nogueira;26;QA;DF
Bernardo Dias;20;Mobile;MA
Marcio Fernandes;24;Web;AP
Ryan Santos;32;Web;ES
Adriana Drumond;20;Mobile;AM
Caleb Farias;48;Web;MA
Eduardo Bernardes;47;Mobile;SC
Roberto Alves;42;QA;GO
Flavia Alves;48;Mobile;AL
Regina Mota;33;Web;AC
Antonio Lima;21;Mobile;AP
Rosangela Assis;18;Mobile;AL
Bruna Moura;18;Web;RO
Kevin Teixeira;21;Web;AC
Regina Peixoto;47;Mobile;BA
Kaue Rocha;34;Web;SE
Isabelle Aparicio;21;QA;SE
Eloa Cardoso;23;Mobile;AC
Silvana Drumond;20;QA;PA
Enrico Nascimento;32;Mobile;RJ
Clara Costa;34;Web;PA
Lucca Paula;47;QA;ES
Gustavo Paz;33;QA;RS
Vitor Bernardes;32;Mobile;MS
Lorena Mendes;34;Web;DF
Luzia Duarte;43;QA;ES
Paulo Oliveira;32;Mobile;DF
Julia Caldeira;33;Mobile;RO
Bruna Rocha;23;QA;DF
Luiz Baptista;23;QA;PI
Sophia Vieira;20;Web;ES
Lucas Sales;32;Web;PA
Raimunda Farias;39;Mobile;ES
Josefa Cavalcanti;48;Web;PR
Renan Mata;34;Mobile;MG
Giovanna Luz;43;Mobile;RO
Samuel Pereira;18;Web;AC
Mariah Almada;24;Mobile;MG
Bento Porto;26;Mobile;AC
Iago Pereira;33;QA;CE
Benedita Sales;42;Web;BA
Natalia Moraes;32;Web;RO
Yago Conceicao;32;Mobile;RJ
Brenda Ribeiro;47;QA;MS
Marcelo Pinto;47;Mobile;DF
Gabrielly Figueiredo;32;Web;MA
Mario Nunes;47;Web;SP
Giovanna Costa;26;QA;RJ
